noun_w_buah_affixed1	noun_w_buah_affixed2	cossim
bagian	kejujuran	0.15
bagian	senyuman	0.12
bagian	keajaiban	0.24
bagian	paduan	0.28
bagian	perlombaan	0.23
bagian	perkumpulan	0.27
bagian	tautan	0.29
bagian	keharusan	0.36
bagian	pelukan	0.21
bagian	perpisahan	0.23
bagian	persidangan	0.22
bagian	rumusan	0.25
bagian	penyajian	0.27
bagian	nyanyian	0.18
bagian	kementerian	0.31
bagian	perkampungan	0.27
bagian	penanda	0.39
bagian	pengabdian	0.22
bagian	terobosan	0.24
bagian	suntikan	0.22
bagian	persimpangan	0.35
bagian	kritikan	0.27
bagian	pertemanan	0.24
bagian	kekosongan	0.3
bagian	percetakan	0.23
bagian	halangan	0.28
bagian	kutukan	0.2
bagian	perbincangan	0.26
bagian	kiriman	0.29
bagian	kebodohan	0.17
bagian	teriakan	0.16
bagian	kejelasan	0.29
bagian	pertengkaran	0.23
bagian	ajakan	0.17
bagian	kemewahan	0.19
bagian	pelarian	0.19
bagian	anjuran	0.22
bagian	pencitraan	0.2
bagian	ringkasan	0.4
bagian	akhiran	0.2
bagian	tontonan	0.24
bagian	kerinduan	0.14
bagian	jebakan	0.24
bagian	pengkhianatan	0.18
bagian	garapan	0.28
bagian	terusan	0.35
bagian	penegasan	0.28
bagian	kontrakan	0.24
bagian	cerminan	0.44
bagian	lompatan	0.21
bagian	renungan	0.22
bagian	pelataran	0.37
bagian	perempatan	0.28
bagian	rangkuman	0.37
bagian	ketukan	0.25
bagian	bisikan	0.23
bagian	bungkusan	0.23
bagian	kerumitan	0.25
bagian	pahatan	0.29
bagian	sindiran	0.17
bagian	kewajaran	0.27
bagian	penantian	0.2
bagian	pergelaran	0.23
bagian	meteran	0.2
bagian	tuturan	0.27
bagian	ujaran	0.21
bagian	penjepit	0.33
bagian	penggaris	0.25
bagian	tamparan	0.26
bagian	hantaman	0.27
bagian	layangan	0.19
bagian	gurauan	0.17
bagian	kelaziman	0.24
bagian	kemustahilan	0.23
bagian	penyerah	0.28
penyakit	perusahaan	0.27
penyakit	perjalanan	0.35
penyakit	makanan	0.41
penyakit	pendidikan	0.34
penyakit	pemerintah	0.26
penyakit	tujuan	0.3
penyakit	kehidupan	0.4
penyakit	hubungan	0.43
penyakit	kegiatan	0.36
penyakit	kecamatan	0.22
penyakit	penilaian	0.29
penyakit	kemampuan	0.31
penyakit	lingkungan	0.36
penyakit	kebutuhan	0.32
penyakit	keadaan	0.45
penyakit	pekerjaan	0.36
penyakit	perubahan	0.38
penyakit	permainan	0.29
penyakit	pilihan	0.27
penyakit	pertanyaan	0.36
penyakit	penelitian	0.36
penyakit	jaringan	0.34
penyakit	pemerintahan	0.29
penyakit	kekuatan	0.3
penyakit	ukuran	0.27
penyakit	tanaman	0.47
penyakit	layanan	0.25
penyakit	perkembangan	0.43
penyakit	pertandingan	0.31
penyakit	bangunan	0.29
penyakit	pembangunan	0.33
penyakit	tindakan	0.4
penyakit	gerakan	0.3
penyakit	kerajaan	0.32
penyakit	kematian	0.48
penyakit	kebijakan	0.27
penyakit	pembelajaran	0.27
penyakit	serangan	0.54
penyakit	tulisan	0.26
penyakit	jawaban	0.19
penyakit	perbedaan	0.32
penyakit	kekuasaan	0.27
penyakit	keputusan	0.23
penyakit	keuntungan	0.27
penyakit	kehilangan	0.28
penyakit	kejadian	0.45
penyakit	kendaraan	0.24
