noun_w_ekor	noun_w_orang	cossim
petani	pembebas	0.23
petani	pemetik	0.44
petani	penjilat	0.21
petani	pencabut	0.19
petani	peramah	0.22
petani	pengukir	0.35
petani	pengejar	0.26
petani	pemerah	0.31
petani	wiraswastawan	0.45
petani	pemulia	0.51
petani	penendang	0.21
petani	penyimak	0.24
petani	pelestari	0.36
petani	penjemput	0.17
petani	pembaru	0.3
petani	penghayat	0.28
petani	pengadu	0.3
petani	pemasak	0.29
petani	pembobol	0.22
petani	penggemblengan	0.22
petani	penghasut	0.26
petani	penderma	0.23
petani	pemaksa	0.28
petani	peragu	0.19
petani	pengekor	0.27
petani	perayu	0.23
petani	pendebat	0.28
petani	penyuara	0.21
petani	pemimpinan	0.27
petani	penghadang	0.2
petani	pengasah	0.3
petani	pengutang	0.3
petani	pembisik	0.19
petani	pengetuk	0.27
petani	pemberang	0.34
petani	peneguh	0.19
petani	pewirausaha	0.4
petani	pencuriga	0.29
petani	pengalah	0.29
petani	pengalasan	0.31
petani	pengamuk	0.39
pejuang	pemain	0.4
pejuang	penduduk	0.34
pejuang	pengguna	0.28
pejuang	wisatawan	0.27
pejuang	penelitian	0.16
pejuang	pasangan	0.31
pejuang	penulis	0.38
pejuang	pemimpin	0.51
pejuang	peserta	0.32
pejuang	pengunjung	0.27
pejuang	penderita	0.3
pejuang	pembelajaran	0.21
pejuang	pelayanan	0.18
pejuang	kehilangan	0.28
pejuang	keturunan	0.37
pejuang	pemilik	0.31
pejuang	penyanyi	0.39
pejuang	karyawan	0.27
pejuang	pelanggan	0.25
pejuang	kelahiran	0.32
pejuang	perdagangan	0.28
pejuang	pekerja	0.41
pejuang	kepercayaan	0.25
pejuang	pemuda	0.53
pejuang	penumpang	0.33
pejuang	pimpinan	0.37
pejuang	pembaca	0.27
pejuang	kekurangan	0.24
pejuang	pejabat	0.41
pejuang	campuran	0.26
pejuang	pelaku	0.38
pejuang	peneliti	0.3
pejuang	pengusaha	0.42
pejuang	pendukung	0.44
pejuang	petunjuk	0.2
pejuang	pemenang	0.33
pejuang	petugas	0.32
pejuang	perbaikan	0.25
pejuang	pelatih	0.33
pejuang	pedagang	0.38
pejuang	pelajar	0.46
pejuang	pengurus	0.26
pejuang	jurusan	0.18
pejuang	ilmuwan	0.37
pejuang	pendiri	0.42
pejuang	angkatan	0.34
pejuang	sasaran	0.24
