noun_w_ekor_noaffix1	noun_w_ekor_noaffix2	cossim
lalat	naga	0.25
lalat	bebek	0.3
lalat	buaya	0.21
lalat	cacing	0.36
lalat	paus	0.25
lalat	nyamuk	0.51
lalat	lebah	0.39
lalat	kutu	0.38
lalat	mamalia	0.28
lalat	hiu	0.27
lalat	harimau	0.25
lalat	kerbau	0.28
lalat	semut	0.39
lalat	beruang	0.24
lalat	monyet	0.27
lalat	lele	0.29
lalat	rusa	0.25
lalat	serigala	0.27
lalat	katak	0.27
lalat	unta	0.29
lalat	kera	0.3
lalat	ulat	0.38
lalat	kepiting	0.25
lalat	kodok	0.32
lalat	penyu	0.23
lalat	elang	0.27
lalat	rubah	0.14
lalat	kadal	0.28
lalat	merpati	0.27
lalat	lembu	0.22
lalat	kelelawar	0.38
lalat	belut	0.25
lalat	bersayap	0.28
lalat	keledai	0.27
lalat	belalang	0.4
lalat	siput	0.28
lalat	angsa	0.29
lalat	banteng	0.21
lalat	jangkrik	0.29
lalat	cupang	0.25
lalat	primata	0.26
lalat	pari	0.19
lalat	gagak	0.28
lalat	biota	0.22
lalat	gurita	0.23
lalat	kijang	0.23
lalat	kecoa	0.44
lalat	simpanse	0.23
lalat	pejantan	0.3
lalat	tupai	0.29
lalat	orangutan	0.2
lalat	ngengat	0.35
lalat	tokek	0.29
lalat	garuda	0.21
lalat	musang	0.3
lalat	keong	0.26
lalat	kalkun	0.21
lalat	cicak	0.37
lalat	gorila	0.22
lalat	patin	0.26
lalat	tungau	0.37
lalat	biawak	0.23
lalat	pipit	0.32
lalat	semur	0.21
lalat	mencit	0.23
lalat	bunglon	0.2
lalat	belatung	0.43
lalat	kancil	0.23
lalat	kobra	0.26
lalat	kupu	0.34
lalat	kerapu	0.25
lalat	beo	0.2
lalat	kecoak	0.41
lalat	cecak	0.32
lalat	sanca	0.12
lalat	lutung	0.21
lalat	rajungan	0.18
lalat	nuri	0.24
lalat	iguana	0.27
lalat	lipan	0.29
lalat	celeng	0.32
lalat	wader	0.28
lalat	beruk	0.23
lalat	marmut	0.25
lalat	laron	0.37
lalat	insekta	0.37
lalat	cenderawasih	0.2
lalat	kutilang	0.24
lalat	kelomang	0.22
lalat	pedet	0.19
lalat	lipas	0.37
lalat	cemani	0.12
lalat	bonobo	0.23
lalat	tonggeret	0.36
lalat	gazelle	0.16
lalat	tedong	0.15
lalat	pekatik	0.16
lalat	tongeret	0.27
hewan	daging	0.51
hewan	ayam	0.45
hewan	kucing	0.58
hewan	binatang	0.86
hewan	sapi	0.56
hewan	anjing	0.61
hewan	kuda	0.52
hewan	ular	0.51
hewan	jantan	0.46
hewan	betina	0.45
hewan	ternak	0.67
hewan	babi	0.53
hewan	serangga	0.56
hewan	tikus	0.54
hewan	gajah	0.53
hewan	singa	0.41
hewan	domba	0.45
hewan	naga	0.39
hewan	bebek	0.43
hewan	buaya	0.46
hewan	cacing	0.47
hewan	paus	0.41
hewan	nyamuk	0.38
hewan	lebah	0.41
hewan	kutu	0.4
hewan	mamalia	0.63
hewan	hiu	0.46
hewan	harimau	0.51
hewan	kerbau	0.49
hewan	semut	0.44
hewan	beruang	0.51
hewan	monyet	0.49
hewan	lele	0.41
hewan	rusa	0.48
hewan	serigala	0.46
hewan	katak	0.45
hewan	unta	0.49
hewan	kera	0.51
hewan	ulat	0.45
hewan	kepiting	0.42
hewan	kodok	0.44
hewan	penyu	0.44
hewan	elang	0.39
hewan	rubah	0.33
hewan	kadal	0.47
hewan	merpati	0.39
hewan	lembu	0.47
hewan	kelelawar	0.45
hewan	belut	0.4
hewan	bersayap	0.32
hewan	keledai	0.45
hewan	belalang	0.37
hewan	siput	0.43
hewan	angsa	0.35
hewan	banteng	0.42
hewan	jangkrik	0.4
hewan	cupang	0.33
hewan	primata	0.55
hewan	pari	0.29
hewan	gagak	0.37
hewan	biota	0.46
hewan	gurita	0.43
hewan	kijang	0.39
hewan	kecoa	0.43
hewan	simpanse	0.42
hewan	pejantan	0.33
hewan	tupai	0.45
hewan	orangutan	0.46
hewan	ngengat	0.33
hewan	tokek	0.39
hewan	garuda	0.22
hewan	musang	0.47
hewan	keong	0.34
hewan	kalkun	0.38
hewan	cicak	0.4
hewan	gorila	0.36
hewan	patin	0.26
hewan	tungau	0.41
hewan	biawak	0.43
hewan	pipit	0.31
hewan	semur	0.24
hewan	mencit	0.42
hewan	bunglon	0.4
hewan	belatung	0.4
hewan	kancil	0.34
hewan	kobra	0.29
hewan	kupu	0.27
hewan	kerapu	0.28
hewan	beo	0.3
hewan	kecoak	0.41
hewan	cecak	0.42
hewan	sanca	0.29
hewan	lutung	0.34
hewan	rajungan	0.33
hewan	nuri	0.23
hewan	iguana	0.49
hewan	lipan	0.42
hewan	celeng	0.36
hewan	wader	0.25
hewan	beruk	0.35
hewan	marmut	0.51
hewan	laron	0.28
hewan	insekta	0.48
hewan	cenderawasih	0.36
hewan	kutilang	0.35
hewan	kelomang	0.48
hewan	pedet	0.36
hewan	lipas	0.39
hewan	cemani	0.34
hewan	bonobo	0.34
hewan	tonggeret	0.31
hewan	gazelle	0.31
hewan	tedong	0.3
hewan	pekatik	0.38
hewan	tongeret	0.31
daging	ayam	0.62
daging	kucing	0.33
daging	binatang	0.47
daging	sapi	0.66
daging	anjing	0.41
daging	kuda	0.38
daging	ular	0.34
daging	jantan	0.3
daging	betina	0.27
daging	ternak	0.5
daging	babi	0.6
daging	serangga	0.28
daging	tikus	0.34
daging	gajah	0.27
daging	singa	0.3
daging	domba	0.47
daging	naga	0.35
daging	bebek	0.48
daging	buaya	0.36
daging	cacing	0.37
daging	paus	0.35
daging	nyamuk	0.23
daging	lebah	0.18
daging	kutu	0.3
daging	mamalia	0.31
daging	hiu	0.38
daging	harimau	0.35
daging	kerbau	0.44
daging	semut	0.26
daging	beruang	0.36
daging	monyet	0.3
daging	lele	0.43
daging	rusa	0.43
daging	serigala	0.4
daging	katak	0.32
daging	unta	0.39
daging	kera	0.3
daging	ulat	0.41
daging	kepiting	0.45
daging	kodok	0.38
daging	penyu	0.32
daging	elang	0.29
daging	rubah	0.28
daging	kadal	0.33
daging	merpati	0.33
daging	lembu	0.44
daging	kelelawar	0.31
daging	belut	0.4
daging	bersayap	0.22
daging	keledai	0.34
daging	belalang	0.29
daging	siput	0.29
daging	angsa	0.33
daging	banteng	0.34
daging	jangkrik	0.32
daging	cupang	0.26
daging	primata	0.23
daging	pari	0.3
daging	gagak	0.28
daging	biota	0.24
daging	gurita	0.4
daging	kijang	0.29
daging	kecoa	0.23
daging	simpanse	0.21
daging	pejantan	0.25
daging	tupai	0.33
daging	orangutan	0.22
daging	ngengat	0.2
