noun_w_orang_noaffix1	noun_w_orang_noaffix2	cossim
kaisar	foreman	0.14
kaisar	golfer	0.03
kaisar	sebatangkara	0.16
kaisar	herpetolog	0.21
kaisar	strategist	0.07
kaisar	selebtwit	0.26
kaisar	achiever	0.05
kaisar	hispanik	0.22
kaisar	ghostwriter	0.14
kaisar	nulipara	0.19
kaisar	legalis	0.33
kaisar	networker	0.14
kaisar	monetaris	0.23
kaisar	pamongpraja	0.27
kaisar	pengibing	0.27
kaisar	taekwondoin	0.07
kaisar	paedofil	0.2
kaisar	campers	0.18
kaisar	pramusiwi	0.12
kaisar	wirausahaan	0.14
kaisar	kooperator	0.15
kaisar	perempuaan	0.27
kaisar	markonis	0.25
kaisar	sadomasokis	0.08
kaisar	mushalli	0.15
kaisar	mubayyin	0.03
kaisar	koder	0.15
kaisar	laksmana	0.24
kaisar	nonpartisipan	0.23
kaisar	kristalografer	0.26
kaisar	marbut	0.06
kaisar	snowboarder	0.15
kaisar	crossline	0.08
kaisar	murabi	0.2
kaisar	postrukturalis	0.2
kaisar	budayan	0.27
kaisar	penaluk	0.26
kaisar	propagandais	0.22
kaisar	khatamul	0.15
kaisar	controlleur	0.17
famili	pahlawan	0.09
famili	sarjana	0.14
famili	investor	0.08
famili	haji	0.2
famili	perwira	0.22
famili	eksekutif	0.09
famili	budak	0.17
famili	mama	0.13
famili	cucu	0.2
famili	bupati	0.2
famili	nelayan	0.18
famili	hantu	0.16
famili	atlet	0.19
famili	isteri	0.26
famili	leader	0.08
famili	pendeta	0.15
famili	direktur	0.07
famili	formasi	0.14
famili	panitia	0.17
famili	aktivis	0.15
famili	official	0.17
famili	jenderal	0.18
famili	kafir	0.16
famili	pilot	0.08
famili	kandidat	0.2
famili	mayat	0.17
famili	wasit	0.06
famili	balita	0.14
famili	pangeran	0.15
famili	asisten	0.12
famili	responden	0.17
famili	juru	0.08
famili	awak	0.17
famili	distributor	0.12
famili	kakek	0.16
famili	profesor	0.1
famili	komandan	0.13
famili	kerabat	0.43
famili	komunis	0.19
famili	teroris	0.14
famili	leluhur	0.2
famili	arsitek	0.12
famili	politisi	0.16
famili	ratu	0.12
famili	pribumi	0.22
famili	desainer	0.09
famili	kapten	0.12
famili	sekutu	0.11
