noun_w_orang_noaffix1	noun_w_orang_noaffix2	cossim
famili	alumni	0.26
famili	sponsor	0.19
famili	master	0.11
famili	spesialis	0.12
famili	atasan	0.18
famili	santri	0.18
famili	sekretaris	0.13
famili	putera	0.17
famili	kritikus	0.19
famili	abang	0.17
famili	oknum	0.14
famili	konsultan	0.12
famili	player	0.06
famili	filsuf	0.07
famili	turis	0.1
famili	monster	0.12
famili	mahluk	0.19
famili	tante	0.11
famili	bidan	0.1
famili	rasul	0.18
famili	iblis	0.1
famili	janda	0.25
famili	jamaah	0.25
famili	fotografer	0.1
famili	elit	0.2
famili	kader	0.22
famili	waris	0.18
famili	insinyur	0.12
famili	subyek	0.14
famili	dukun	0.1
famili	audit	0.05
famili	kru	0.2
famili	sopir	0.14
famili	duta	0.12
famili	doktor	0.12
famili	bubur	0.09
famili	bocah	0.11
famili	driver	0.14
famili	intelijen	0.14
famili	praktisi	0.12
famili	walikota	0.14
famili	obesitas	0.08
famili	siswi	0.1
famili	finalis	0.17
famili	sultan	0.16
famili	panglima	0.09
famili	imigran	0.15
famili	hacker	0.03
famili	puteri	0.24
famili	optimis	0.04
famili	family	0.45
famili	resepsionis	0.05
famili	bajak	0.12
famili	delegasi	0.2
famili	revolusioner	0.07
famili	developer	0.06
famili	keponakan	0.25
famili	teknisi	0.08
famili	jago	0.1
famili	ninja	0.11
famili	kiper	0.07
famili	propaganda	0.06
famili	nasionalis	0.11
famili	netizen	0.09
famili	mahasiswi	0.2
famili	mempelai	0.2
famili	psikolog	0.08
famili	analis	0.06
famili	donor	0.16
famili	striker	0.12
famili	ekonom	0.15
famili	sufi	0.14
famili	tuna	0.11
famili	supir	0.15
famili	konselor	0.11
famili	diplomat	0.15
famili	ksatria	0.12
famili	dalang	0.11
famili	rektor	0.11
famili	inspeksi	0.08
famili	wirausaha	0.01
famili	majikan	0.24
famili	administrator	0.09
famili	ojek	0.07
famili	general	0.03
famili	kapitalis	0.04
famili	suporter	0.16
famili	alim	0.08
famili	mukmin	0.18
famili	siluman	0.11
famili	suster	0.09
famili	guide	0.07
famili	detektif	0.07
famili	jaksa	0.06
famili	agent	0.14
famili	kolektor	0.17
famili	business	0.07
famili	macan	0.2
famili	elite	0.18
